role,company_type,experience_level,skills_count,goals_type,relevance_rating,clarity_rating,actionable_rating,overall_rating,feedback_text
software engineer,other,mid,3,growth,4,2,4,2,"the steps are not clear and make it beinneer friendly
"
software engineer,other,mid,4,growth,4,2,4,2,"make the roadmap smaller
"
